epoch,reward,policy_loss,value_loss,entropy_loss,total_loss,computation_cost,transmission_cost,delay_penalty,training_time,agent_type,params,inference_time,estimated_cost,steps_per_episode,n_agents,agent_0_policy_loss,agent_0_value_loss,agent_0_entropy_loss
0,-10.899399305129837,-0.0058663636445999146,6814.0888671875,0.6930863261222839,6813.389914497733,0.0,0.0,0.0,7.059897422790527,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0058663636445999146,6814.0888671875,0.6930863261222839
1,-0.0909954341586713,-0.004797939211130142,8130.0947265625,0.6930835843086243,8129.39684503898,0.0,0.0,0.0,7.6842873096466064,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.004797939211130142,8130.0947265625,0.6930835843086243
2,-8.01427297270211,-0.004292221739888191,7647.39111328125,0.6930400133132935,7646.693781046197,0.0,0.0,0.0,6.7688398361206055,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.004292221739888191,7647.39111328125,0.6930400133132935
3,-0.7336959731615353,-0.0036455667577683926,6526.54541015625,0.6929841041564941,6525.848780485336,0.0,0.0,0.0,7.114665985107422,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0036455667577683926,6526.54541015625,0.6929841041564941
4,-10.067343669398722,-0.003355014370754361,8084.419921875,0.6928812265396118,8083.72368563409,0.0,0.0,0.0,10.753740072250366,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.003355014370754361,8084.419921875,0.6928812265396118
5,-0.4298311870402953,-0.0024941011797636747,8037.21435546875,0.6927745938301086,8036.51908677374,0.0,0.0,0.0,11.80359935760498,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0024941011797636747,8037.21435546875,0.6927745938301086
6,-0.13171530623000036,-0.002703654346987605,7725.85302734375,0.6926397681236267,7725.157683921279,0.0,0.0,0.0,6.636955738067627,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.002703654346987605,7725.85302734375,0.6926397681236267
7,-11.238224061446308,-0.00202389620244503,7924.53662109375,0.6924765110015869,7923.842120686546,0.0,0.0,0.0,7.007451295852661,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.00202389620244503,7924.53662109375,0.6924765110015869
8,-1.0465866462930342,-0.0018455226672813296,7885.15283203125,0.6923000812530518,7884.45868642733,0.0,0.0,0.0,6.781432867050171,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0018455226672813296,7885.15283203125,0.6923000812530518
9,-1.059144604445401,-0.0017047695582732558,6945.0869140625,0.6920948028564453,6944.393114490085,0.0,0.0,0.0,7.54762601852417,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0017047695582732558,6945.0869140625,0.6920948028564453
10,-0.4119967435003096,-0.0016925878589972854,6852.4794921875,0.6918376088142395,6851.785961990827,0.0,0.0,0.0,7.475656032562256,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0016925878589972854,6852.4794921875,0.6918376088142395
11,-1.0725564122742446,-0.00128837488591671,7487.3037109375,0.6916014552116394,7486.610821107402,0.0,0.0,0.0,7.209101676940918,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.00128837488591671,7487.3037109375,0.6916014552116394
12,-0.76920868262736,-0.0016105499817058444,6424.14697265625,0.6913190484046936,6423.454043057864,0.0,0.0,0.0,6.889003276824951,MAPPO,0,0,2.0833500000000003e-05,1000,1,-0.0016105499817058444,6424.14697265625,0.6913190484046936
